in,index,value
157,157,6.434998045796506
158,158,4.346934829400558
159,159,7.015269745274539
160,160,4.835663360979217
161,161,4.54222325877951
162,162,6.5521912821379065
163,163,5.47340562626628
164,164,6.537230608673362
165,165,4.669358711978289
166,166,5.219109356906106
167,167,6.365479435786272
168,168,5.67519917874154
169,169,5.892007055071717
170,170,4.2744960950898
171,171,4.391672399167982
172,172,6.4300309630233
173,173,4.458900010375
174,174,6.57556760060083
175,175,4.623666875598174
176,176,4.678777997399715
177,177,6.0972300993200275
178,178,5.113120706205516
179,179,6.676737650990361
180,180,4.750233842734243
181,181,4.5300424155925505
182,182,6.507934008976612
183,183,4.6239291350400675
184,184,7.325257668516775
185,185,4.439248629436339
186,186,4.84645724523485
187,187,6.122314559861515
188,188,5.013094899491822
189,189,6.492675088928873
190,190,4.4536838032916295
191,191,4.545193014860945
192,192,5.913993230588242
193,193,5.645258285292349
194,194,6.228658226735449
195,195,4.610277412706234
196,196,4.7869596630363
197,197,6.540281770181851
198,198,5.014018398966286
199,199,6.920234765265182
200,200,4.791560741831088
201,201,4.632901061742947
202,202,5.834636622379079
203,203,5.140326688739225
204,204,6.789610890117307
205,205,4.897823818389713
206,206,4.882353558066776
207,207,6.369666993084868
208,208,4.660307186827362
209,209,7.3816918630518575
210,210,4.872612250343405
211,211,4.46788679761624
212,212,6.533144892681821
213,213,5.247101525599867
214,214,6.657686403558483
215,215,4.2138536082113145
216,216,4.641902187306167
217,217,6.283384156262947
218,218,5.553971361469509
219,219,6.15515531259706
220,220,4.574444335298393
221,221,5.028019634797469
222,222,6.9485015562203944
223,223,4.659193786889004
224,224,6.583431216613738
225,225,4.959208841917945
226,226,4.709738182279302
227,227,6.165654964615226
228,228,4.967733754924545
229,229,6.704600213772203
230,230,5.022990849182529
231,231,4.450794772204744
232,232,6.6395775161440955
233,233,4.564678537509899
234,234,7.250377854407262
235,235,4.638323753243615
236,236,4.566943321023609
237,237,6.385158137373098
238,238,5.008174738350673
239,239,6.322954312313523
240,240,4.818962719908738
241,241,4.654454505223329
242,242,5.723189874442444
243,243,5.640409858766294
244,244,6.130854260963016
245,245,4.5770599236044385
246,246,4.405717484165221
247,247,6.6686788712606
248,248,4.770913385023186
249,249,6.821886296323797
250,250,4.640596611050575
251,251,4.718600946042894
252,252,6.2228602882030275
253,253,4.875013219680673
254,254,6.474848492172372
255,255,4.454679723894433
256,256,4.72979788971166
257,257,6.539314209293442
258,258,4.756283325708258
259,259,6.974300757297656
260,260,4.751501133107667
261,261,4.949210080369826
262,262,6.112637083952254
263,263,5.370939112262637
264,264,6.564719690132006
265,265,4.554686430360873
266,266,4.731120722357663
267,267,5.97977114225677
268,268,5.590194066371765
269,269,6.333433357261159
270,270,4.245677378212733
271,271,4.483729374472158
272,272,6.801233188586574
273,273,4.72287603580088
274,274,6.602067168464071
275,275,4.950790913988057
276,276,4.396054298100966
277,277,6.234355929251034
278,278,5.456336330715868
279,279,6.58556630175741
280,280,4.341900321856367
281,281,4.755234046051938
282,282,6.32744257028554
283,283,4.645246352951952
284,284,7.109577958481641
285,285,4.935983377244122
286,286,4.7676932092404565
287,287,6.227124743497475
288,288,5.259437458973931
289,289,6.408157270853408
290,290,4.780800784349947
291,291,4.612450000209255
292,292,6.052560669295509
293,293,5.822563998782014
294,294,5.895756078820147
295,295,4.589786013763634
296,296,4.673333614563761
297,297,6.548460970648996
298,298,4.8987220382785495
299,299,6.746019257538757
300,300,4.705465947121776
301,301,4.686948493021985
302,302,5.779110126233187
303,303,5.499756710239874
304,304,7.040099249596107
305,305,4.641855660377101
306,306,5.046614519942388
307,307,6.42411637919726
308,308,4.408024769691796
309,309,6.926715755285196
310,310,4.822982040765853
311,311,4.6866223894128005
312,312,6.122684329462121
313,313,5.247744620119272
314,314,6.21687032615298
315,315,4.822113412774045
316,316,4.872811056983085
317,317,6.539851226085751
318,318,5.298573159232415
319,319,6.2953794038000925
320,320,4.3790606913657975
321,321,4.464423970431047
322,322,6.463390849729123
323,323,4.679538527250315
324,324,6.655190911476758
325,325,4.969830376432302
326,326,4.616027850593446
327,327,5.950646693082715
328,328,4.984389565286454
329,329,6.468540723826228
330,330,4.715370415090342
331,331,4.534901071274557
332,332,6.230334345755695
333,333,4.555917044611116
334,334,7.438599327464837
335,335,4.845429176889036
336,336,4.592040175482987
337,337,6.1430370008355055
338,338,5.0858455757474665
339,339,6.749722463519262
340,340,4.310016300617221
341,341,4.542462893291933
342,342,5.950654443486513
343,343,5.484701166742666
344,344,6.15573700465041
345,345,4.389312293750451
346,346,4.505200656720792
347,347,6.752210468290335
348,348,4.537397827740345
349,349,6.478019174533404
350,350,4.6847221688862035
351,351,4.707395383792072
352,352,6.325750308273062
353,353,5.2589447039922605
354,354,6.170899828022665
355,355,4.839252915567163
356,356,4.806308217975521
357,357,6.2613072399659835
358,358,4.153428286831971
359,359,7.078965553543763
360,360,4.690435533956949
361,361,4.872342172445515
362,362,6.470561960643219
363,363,5.6381353635852225
364,364,6.448556632195935
365,365,4.7509654151596585
366,366,4.992136074422615
367,367,6.125143508776333
368,368,5.887401770169228
369,369,6.043517378748656
370,370,4.931886314907155
371,371,4.285194949088517
372,372,6.611853927419616
373,373,4.541835870599915
374,374,6.853041722975954
375,375,5.022064030916681
376,376,4.625546705752583
377,377,5.967262990229936
378,378,5.30800089068877
379,379,6.7678348918203195
380,380,5.169911034631696
381,381,4.689563447651777
382,382,6.332810788832351
383,383,4.09186378727444
384,384,6.8774199249347685
385,385,4.515585518233226
386,386,4.960368923069567
387,387,6.188944047124865
388,388,4.883957428718055
389,389,6.155213045845851
390,390,4.653731011293118
391,391,5.214262380813622
392,392,6.073648906205714
393,393,5.523010836924513
394,394,5.875567527698546
395,395,4.258729047840266
396,396,4.807191288369676
397,397,6.921688458678426
398,398,4.890681992903866
399,399,7.117994527247838
400,400,4.571126806548743
401,401,4.814656987173288
402,402,5.736368494275069
403,403,5.1628879955282105
404,404,6.669162935507501
405,405,4.766659015076808
406,406,5.0324059287379
407,407,6.73245825615822
408,408,4.648981593012746
