index,value
0,0.028297816925799246
1,0.030865292121876275
2,0.20845120009858842
3,0.0967368764094304
4,0.2547445317514546
5,-0.024467015119055024
6,0.0705638328149989
7,0.29233946378974895
8,0.02610442850064565
9,0.3257015661814542
10,0.022106480939552142
11,-0.018053616924635474
12,0.19010054424082112
13,0.10594406498228626
14,0.25025058302118375
15,-0.025351498754367485
16,0.01122562904854385
17,0.21493206193785064
18,0.14942744376628547
19,0.18846354432794177
20,-0.043711271492002046
21,0.0358300939083358
22,0.2816531105264616
23,0.06704431921848941
24,0.28456281587836363
25,0.022208025788957086
26,0.04599090688045537
27,0.2124651475058026
28,0.06185354405239685
29,0.24442326238568968
30,0.014738358405906316
31,0.03374188614796503
32,0.273698810854766
33,-0.009218718860603992
34,0.291062623891445
35,0.003937738048521711
36,-0.03818480581682593
37,0.18737484684726158
38,0.05581457638727183
39,0.23838489985969125
40,0.03425970244933052
41,0.018423512784100482
42,0.17570556010057192
43,0.16488623980009265
44,0.21115430614195385
45,-0.008855662056787228
46,0.037130343720589654
47,0.22455336396437897
48,-0.012144803820629657
49,0.31105872364729403
50,0.06830946154912032
51,0.030577224863153174
52,0.17235487554755158
53,0.0837256471170198
54,0.28030346176136056
55,0.008969534757468423
56,0.0076310397794240314
57,0.29741020503991755
58,-0.040102383738105485
59,0.3455847399377958
60,0.005974546381743773
61,0.07110329949186789
62,0.2725283761691596
63,0.0755705498174084
64,0.23498157595390368
65,0.010327396543751255
66,0.05552767874805398
67,0.21092636211850746
68,0.16140110159894772
69,0.22645370000015086
70,-0.022102414801553505
71,0.012660173131695984
72,0.3030421790402399
73,0.06177102398783696
74,0.32475633947428695
75,0.0371219685162818
76,0.007663175847804071
77,0.2481919292070789
78,0.049565735884126605
79,0.31513551994625166
80,0.014693874868807688
81,0.0351636558806705
82,0.2819724586128197
83,-0.025844247442917467
84,0.3557198361401769
85,-0.014253513936003714
86,0.037757138252730416
87,0.24946532708970204
88,0.049711413986920805
89,0.28324724360023457
90,0.02114117764069956
91,0.06543249217436686
92,0.22454500574941483
93,0.1435097507920431
94,0.21364080097967175
